page_url,image_url,text_surrogate
https://harrypotter.fandom.com/wiki/Ghost,https://static.wikia.nocookie.net/harrypotter/images/6/60/Ghost_PM.png,Ghost | Harry Potter Wiki | Fandom Ghost-pottermore
https://harrypotter.fandom.com/wiki/Marlene_McKinnon,https://static.wikia.nocookie.net/harrypotter/images/6/60/Marlene_McKinnon_PM.png,Marlene McKinnon | Harry Potter Wiki | Fandom Marlene McKinnon PM
https://harrypotter.fandom.com/wiki/Durmstrang_Institute,https://static.wikia.nocookie.net/harrypotter/images/f/f3/DurmstrangCrest.png,Durmstrang Institute | Harry Potter Wiki | Fandom DurmstrangCrest
https://harrypotter.fandom.com/wiki/Helena_Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/a/a1/Helena_Ravenclaw.png,Helena Ravenclaw | Harry Potter Wiki | Fandom Helena Ravenclaw
https://harrypotter.fandom.com/wiki/Avifors_Spell,https://static.wikia.nocookie.net/harrypotter/images/d/dd/Avifors_icon_HM.png,Avifors Spell | Harry Potter Wiki | Fandom Avifors icon HM
https://harrypotter.fandom.com/wiki/Christmas_holidays,https://static.wikia.nocookie.net/harrypotter/images/5/53/Christmas_holiday.gif/revision/latest/scale-to-width-down/268?cb=20210624034023,Christmas holidays | Harry Potter Wiki | Fandom Christmas holiday
https://harrypotter.fandom.com/wiki/House_of_Black,https://static.wikia.nocookie.net/harrypotter/images/1/1e/Toujours_Pur.jpg,House of Black | Harry Potter Wiki | Fandom Toujours Pur
https://harrypotter.fandom.com/wiki/Morsmordre,https://static.wikia.nocookie.net/harrypotter/images/c/c9/Morsmordre.gif/revision/latest/scale-to-width-down/268?cb=20180607231706,Morsmordre | Harry Potter Wiki | Fandom Morsmordre
https://harrypotter.fandom.com/wiki/Mykew_Gregorovitch,https://static.wikia.nocookie.net/harrypotter/images/e/ee/Mykew_Gregorovitch.jpg,Mykew Gregorovitch | Harry Potter Wiki | Fandom Mykew Gregorovitch
https://harrypotter.fandom.com/wiki/Winky_Crockett_(Slytherin),https://static.wikia.nocookie.net/harrypotter/images/f/f2/Slytherin_House_Captain%27s_Plaque.jpg,Winky Crockett (Slytherin) | Harry Potter Wiki | Fandom Slytherin House Captain's Plaque
https://harrypotter.fandom.com/wiki/Devon,https://static.wikia.nocookie.net/harrypotter/images/1/1b/Ottery_St_Catchpole.png,Devon | Harry Potter Wiki | Fandom Ottery St Catchpole
https://harrypotter.fandom.com/wiki/Dunbar_Oglethorpe,https://static.wikia.nocookie.net/harrypotter/images/0/06/Dunbar_Oglethorpe.jpg,Dunbar Oglethorpe | Harry Potter Wiki | Fandom Dunbar Oglethorpe
https://harrypotter.fandom.com/wiki/Twelve_Fail-Safe_Ways_to_Charm_Witches,https://static.wikia.nocookie.net/harrypotter/images/a/ab/Twelve_Fail-Safe_Ways_to_Charm_Witches_PM.png,Twelve Fail-Safe Ways to Charm Witches | Harry Potter Wiki | Fandom Twelve Fail-Safe Ways to Charm Witches PM
https://harrypotter.fandom.com/wiki/Malcolm_Preece,https://static.wikia.nocookie.net/harrypotter/images/9/92/Malcolm_Preece.png,Malcolm Preece | Harry Potter Wiki | Fandom Malcolm Preece
https://harrypotter.fandom.com/wiki/Blenheim_Stalk,https://static.wikia.nocookie.net/harrypotter/images/3/3f/Blenheim_Stalk_HM.png,Blenheim Stalk | Harry Potter Wiki | Fandom Blenheim Stalk HM
https://harrypotter.fandom.com/wiki/Maisy_Reynolds,https://static.wikia.nocookie.net/harrypotter/images/2/21/Maisy_Reynolds.jpg,Maisy Reynolds | Harry Potter Wiki | Fandom Maisy Reynolds
https://harrypotter.fandom.com/wiki/Unidentified_Keeper_(I),https://static.wikia.nocookie.net/harrypotter/images/6/69/Unidentified_Keeper%27s_custom-made_Keeper_Gear_HM.jpg,Unidentified Keeper (I) | Harry Potter Wiki | Fandom Unidentified Keeper's custom-made Keeper Gear HM
https://harrypotter.fandom.com/wiki/Manticore,https://static.wikia.nocookie.net/harrypotter/images/1/11/Manticore_FBC.png,Manticore | Harry Potter Wiki | Fandom Manticore FBCFWW
https://harrypotter.fandom.com/wiki/Merlin,https://static.wikia.nocookie.net/harrypotter/images/7/72/Merlin_Chocolate_Frog_Card_HM.PNG/revision/latest/scale-to-width-down/268?cb=20211023112018,Merlin | Harry Potter Wiki | Fandom Merlin Chocolate Frog Card HM
https://harrypotter.fandom.com/wiki/Dymphna_Furmage,https://static.wikia.nocookie.net/harrypotter/images/7/76/Dymphna.jpg,Dymphna Furmage | Harry Potter Wiki | Fandom Dymphna
https://harrypotter.fandom.com/wiki/Dzou_Yen,https://static.wikia.nocookie.net/harrypotter/images/2/20/Dzou_Yen.jpg,Dzou Yen | Harry Potter Wiki | Fandom Dzou Yen
https://harrypotter.fandom.com/wiki/Concepta_Battista,https://static.wikia.nocookie.net/harrypotter/images/f/f7/Gryffindor_Captains_Plaque.jpg,Concepta Battista | Harry Potter Wiki | Fandom Gryffindor Captains Plaque
https://harrypotter.fandom.com/wiki/Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/0/06/Hufflepuff_ClearBG.png,Hufflepuff | Harry Potter Wiki | Fandom Hufflepuff ClearBG
https://harrypotter.fandom.com/wiki/Artemisia_Lufkin,https://static.wikia.nocookie.net/harrypotter/images/e/e4/Artemisia_Lufkin.png,Artemisia Lufkin | Harry Potter Wiki | Fandom Artemisia Lufkin
https://harrypotter.fandom.com/wiki/Gold_Pole,https://static.wikia.nocookie.net/harrypotter/images/7/7e/GoldPol.jpg,Gold Pole | Harry Potter Wiki | Fandom GoldPol
https://harrypotter.fandom.com/wiki/Peter_Boat,https://static.wikia.nocookie.net/harrypotter/images/b/bd/PeterBoatSign.jpg,Peter Boat | Harry Potter Wiki | Fandom PeterBoatSign
https://harrypotter.fandom.com/wiki/Blast-Ended_Skrewt,https://static.wikia.nocookie.net/harrypotter/images/9/99/Blast-Ended_Skrewt_PM.png,Blast-Ended Skrewt | Harry Potter Wiki | Fandom Blast-Ended Skrewt PM
https://harrypotter.fandom.com/wiki/Harry_Potter_and_the_Forbidden_Journey,https://static.wikia.nocookie.net/harrypotter/images/4/4f/USH_Forbidden_Journey_Promo.jpg,Harry Potter and the Forbidden Journey | Harry Potter Wiki | Fandom USH Forbidden Journey Promo
https://harrypotter.fandom.com/wiki/Oona_Ballington,https://static.wikia.nocookie.net/harrypotter/images/a/a2/Gryffindor_Quidditch_Captains_Plaque.jpg,Oona Ballington | Harry Potter Wiki | Fandom Gryffindor Quidditch Captains Plaque
